,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('TGFBR', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-61.0,0.0,1.0
"[('TGFb', 0)]",1.0,0.7113581945782304,0.8454327783129214,0.0,0.7045273152607678,0.8522636576303839,0.7045273152607678,0.28864180542176965,0.5772836108435393,0.7812641618447296,0.707244061629377,0.29547268473923216,0.0,0.6477363423696161,0.5060531906177689,0.45810768164244403,-21.571428571428573,0.07222005205669739,0.986338241365075
"[('TGFb', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('THY1', 0)]",1.0,0.7114003848702859,0.8456015394811437,0.0,0.0,0.8523339747838098,0.7046679495676198,0.28859961512971405,0.5771992302594281,0.8300074084255062,0.7513501710920502,0.2953320504323802,0.0,0.6476660252161901,0.5375675991149386,0.4866239788566925,-19.285714285714285,0.07137604441687861,0.9865351293946677
"[('THY1', 1)]",1.0,0.7114003848702859,0.8456015394811437,0.0,1.0,0.8523339747838098,0.7046679495676198,0.28859961512971405,0.5771992302594281,0.7397152313250757,0.669614704608234,0.2953320504323802,0.0,0.6476660252161901,0.47908842366418636,0.43368669415992817,-21.571428571428573,0.07137604441687861,0.9865351293946677
"[('Twist1', 0)]",1.0,0.5704538917651223,0.8454467011814681,0.0,0.7045389176512236,0.0,0.7045389176512236,0.2886383247046329,0.5772766494092658,0.8400539381918046,0.7509998194682974,0.29546108234877644,0.0,0.6477305411743882,0.5441285920006537,0.4864455194860681,-24.714285714285715,0.07215053050543059,0.9863544847117129
"[('Twist1', 1)]",1.0,0.7113538382648992,0.8454153530595965,0.0,0.7045127942163305,1.0,0.7045127942163305,0.2886461617351008,0.5772923234702017,0.7578222372952375,0.6860249110593412,0.2954872057836695,0.0,0.6477436028918347,0.49087450633716806,0.44436824756312815,-20.714285714285715,0.07230703460418744,0.9863179119028627
"[('ZEB1', 0)]",1.0,0.7112808200867795,0.704269400289265,0.0,0.704269400289265,0.8521347001446324,0.0,0.2887191799132205,1.0,0.5819401175740239,0.6719665670672104,1.0,-1.0,1.0,0.5819401175740239,0.6719665670672104,-25.0,0.07376046516340683,0.985977160404971
"[('ZEB1', 1)]",1.0,0.42957090393272945,0.8521454803363526,0.0,0.7042909606727054,0.8521454803363526,1.0,0.2887127117981884,0.5704290960672705,0.7699568076657971,0.6181535207227368,0.0,0.0,0.5,0.38497840383289855,0.3090767603613684,-19.857142857142858,0.07363205899274311,0.9860073449417874
"[('bcatenin', 0)]",1.0,0.5675027096295143,0.1350054192590286,0.0,0.2025081288885429,0.6350054192590286,0.1350054192590286,0.4324972903704857,0.8649945807409714,0.5552415932487669,0.5940322239081302,0.8649945807409714,-1.0,0.9324972903704857,0.5177612812054665,0.553933439187085,-46.0,0.5832696200653356,0.7299891614819428
"[('bcatenin', 1)]",1.0,0.7142857142857143,0.8571428571428571,0.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7824758900557374,0.7071067811865476,0.2857142857142857,0.0,0.6428571428571428,0.5030202150358312,0.4545686450484948,-21.571428571428573,0.0,1.0
"[('miR200', 0)]",1.0,0.4295550792325203,0.8453390492097566,0.0,0.7044492076747971,0.8522246038373985,0.986228890744716,0.0,0.5773304753951217,0.7749122986546212,0.6241887396669961,0.01377110925528402,0.0,0.5068855546276421,0.3927918502913287,0.3163922554984342,-19.857142857142858,0.07268756443717223,0.986228890744716
"[('miR200', 1)]",1.0,0.7113435625864986,0.7044785419549952,0.0,0.7044785419549952,0.8522392709774975,0.0,1.0,1.0,0.5284402659671615,0.6101902596135563,1.0,-1.0,1.0,0.5284402659671615,0.6101902596135563,-29.857142857142858,0.07251208792878996,0.9862699587369932
"[('miR34', 0)]",0.5771119213092334,0.7114440393453834,1.0,0.4228880786907666,0.704813464484611,0.8524067322423056,0.704813464484611,0.2885559606546167,0.0,0.7656271315064775,0.6759084898200958,-0.12770154317537763,0.0,0.4361492284123112,0.33392768265808126,0.29479696631236524,-22.714285714285715,0.07049967355768726,0.9867388502784554
"[('miR34', 1)]",1.0,0.7114697726654355,0.7048992422181185,0.0,0.7048992422181185,0.8524496211090591,0.7048992422181185,0.28853022733456446,1.0,0.711827834402265,0.6363213526875544,0.2951007577818815,0.0,0.6475503788909407,0.4609443838723045,0.4120501330292218,-22.142857142857142,0.06998159004531455,0.9868589391053658
"[('p38', 0)]",1.0,0.7113140285272043,0.8452561141088165,0.0,0.7043800950906806,0.8521900475453402,0.7043800950906806,0.28868597147279584,0.5773719429455917,0.7812454277166107,0.7072458341856578,0.29561990490931944,0.0,0.6478099524546597,0.5060985633845178,0.45816089021756706,-21.571428571428573,0.0731005028905553,0.9861321331269527
"[('p38', 1)]",0.8591255789057987,0.711311631641302,0.8452465265652078,0.1408744210942013,0.7043721054710066,0.8521860527355032,0.7043721054710066,0.28868836835869804,0.5773767367173961,0.7691725046025166,0.6876553529360608,0.15475347343479207,0.0,0.5773767367173961,0.4441023106801474,0.39703620366447206,-21.285714285714285,0.07314819556622025,0.9861209476594092
"[('p53', 0)]",0.9512034015988005,0.9999999999999999,0.9337284251015379,0.04879659840119941,0.9999999999999999,0.9999999999999999,0.9337284251015379,0.0,0.11848759116911525,0.8022037281798483,0.6998074772660376,0.017474976497262595,0.0,0.5087374882486313,0.4081111097379038,0.35601829824193515,-29.0,1.093003561337005,0.6776284662697315
"[('p53', 1)]",1.0,0.13843397414168807,0.0,0.0,0.0,0.5583821606701854,0.0,1.0,1.0,0.3118842871075162,0.3601329542350781,1.0,-1.0,1.0,0.3118842871075162,0.3601329542350781,-35.0,0.7650053561481858,0.6921698707084403
